,Unnamed: 0,req1,req1_id,req2,req2_id,similarity,cosine,BinaryClass,MultiClass,Id
9999,9999,the driver shall be able to select train data entry on the dmi,PURE_B010,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_B012,9999,9999,0,9999,9999
9999,9999,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,PURE_B011,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_B068,9999,9999,0,9999,9999
9999,9999,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_B012,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_B055,9999,9999,0,9999,9999
9999,9999," it shall be possible to apply the train trip function if the shunting movement passes a signal showing ""danger for shunting",PURE_B013,when the train passes the stop signal the train trip function shall be suppressed,PURE_B005,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,PURE_B014,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,PURE_B051,9999,9999,1,9999,9999
9999,9999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_B006,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,9999,9999,0,9999,9999
9999,9999,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,PURE_B052,9999,9999,0,9999,9999
9999,9999,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_B015,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,PURE_B072,9999,9999,1,9999,9999
9999,9999,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,PURE_B016,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,PURE_B051,9999,9999,1,9999,9999
9999,9999,the trackside shall be able to send information for the calculation of speed profiles,PURE_B017," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_B006,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,PURE_B011,9999,9999,0,9999,9999
9999,9999,the current operational status shall be indicated to the driver on the dmi,PURE_B001," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999,when a traction unit passes a stop-signal the emergency brake shall be triggered,PURE_B018,the emergency brake shall be applied until the traction unit is stationary,PURE_B120,9999,9999,0,9999,9999
9999,9999,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,PURE_B011,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,9999,9999,0,9999,9999
9999,9999,the driver shall be able to consult train data when the train is stationary or moving,PURE_B019,when the train passes the stop signal the train trip function shall be suppressed,PURE_B005,9999,9999,0,9999,9999
9999,9999,the driver shall be able to release an etcs emergency brake application when stationary,PURE_B020,the driver shall be able to override the function when the train is stationary,PURE_B065,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data,PURE_B021,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,PURE_B058,9999,9999,0,9999,9999
9999,9999,this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,PURE_B022,a special indication shall be shown on the dmi,PURE_B026,9999,9999,1,9999,9999
9999,9999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_B006,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,after the acknowledgement the driver shall be able to continue the movement,PURE_B115,9999,9999,0,9999,9999
9999,9999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,when the train passes the stop signal the train trip function shall be suppressed,PURE_B005,9999,9999,0,9999,9999
9999,9999,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,PURE_B016,the etcs on-board shall be capable of sending to the trackside train integrity information detected by a system outside etcs,PURE_B054,9999,9999,1,9999,9999
9999,9999,partial supervision shall be indicated on the dmi,PURE_B024,a special indication shall be shown on the dmi,PURE_B026,9999,9999,1,9999,9999
9999,9999,actual speed shall be indicated on the dmi,PURE_B025,a special indication shall be shown on the dmi,PURE_B026,9999,9999,1,9999,9999
9999,9999,a special indication shall be shown on the dmi,PURE_B026,route unsuitability shall be indicated on the dmi,PURE_B032,9999,9999,1,9999,9999
9999,9999,the ceiling speed value for the unfitted operation is determined by the lower value out of,PURE_B027,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,PURE_B049,9999,9999,0,9999,9999
9999,9999,stored train data shall be offered to the driver to be confirmed when data entry starts,PURE_B028,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_B055,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment shall transmit its own train identification to the rbc,PURE_B029,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_B006,the test shall require no action on the part of the driver,PURE_B041,9999,9999,0,9999,9999
9999,9999,the current application level shall be indicated on the dmi,PURE_B030,a special indication shall be shown on the dmi,PURE_B026,9999,9999,1,9999,9999
9999,9999,partial supervision shall be indicated on the dmi,PURE_B024,the supervised speed shall not be shown on the dmi,PURE_B031,9999,9999,1,9999,9999
9999,9999,partial supervision shall be indicated on the dmi,PURE_B024,the occurrence of a failure shall be displayed on the dmi,PURE_B188,9999,9999,1,9999,9999
9999,9999,actual speed shall be indicated on the dmi,PURE_B025,the occurrence of a failure shall be displayed on the dmi,PURE_B188,9999,9999,1,9999,9999
9999,9999,a special indication shall be shown on the dmi,PURE_B026,the occurrence of a failure shall be displayed on the dmi,PURE_B188,9999,9999,1,9999,9999
9999,9999,the supervised speed shall not be shown on the dmi,PURE_B031,route unsuitability shall be indicated on the dmi,PURE_B032,9999,9999,1,9999,9999
9999,9999,route unsuitability shall be indicated on the dmi,PURE_B032,the occurrence of a failure shall be displayed on the dmi,PURE_B188,9999,9999,1,9999,9999
9999,9999,the train shall be supervised according to train speed data available,PURE_B033,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,permission received shall be indicated to the driver,PURE_B034,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,PURE_B014,the etcs on-board shall be capable of sending to the trackside train integrity information detected by a system outside etcs,PURE_B054,9999,9999,1,9999,9999
9999,9999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_B006,in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,PURE_B043,9999,9999,0,9999,9999
9999,9999,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,PURE_B011,the driver shall enter the driver id,PURE_B082,9999,9999,0,9999,9999
9999,9999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_B037,9999,9999,0,9999,9999
9999,9999,the indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of etcs,PURE_B036,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_B037,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_B008,9999,9999,0,9999,9999
9999,9999,the on board shall supervise the train against a ceiling speed,PURE_B038,if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,PURE_B095,9999,9999,0,9999,9999
9999,9999,the target distance shall not be shown on the dmi unless selected by the driver,PURE_B039," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999,if track data at least to the location where the relevant movement authority ends are not available on-board the movement authority shall be rejected,PURE_B040,together with the movement authority the on board shall be able to receive one or more time-out(s) for certain sections of the movement authority and shorten the movement authority accordingly when a time out expires,PURE_B079,9999,9999,0,9999,9999
9999,9999,the target distance shall not be shown on the dmi unless selected by the driver,PURE_B039,the driver shall enter the driver id,PURE_B082,9999,9999,1,9999,9999
9999,9999,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,PURE_B002,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_B012,9999,9999,0,9999,9999
9999,9999,the current application level shall be indicated on the dmi,PURE_B030,the supervised shunting speed shall be indicated to the driver on request,PURE_B073,9999,9999,1,9999,9999
9999,9999,the test shall require no action on the part of the driver,PURE_B041,the target distance shall not be shown on the dmi unless selected by the driver,PURE_B039,9999,9999,1,9999,9999
9999,9999,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_B015,the supervised speed shall not be shown on the dmi,PURE_B031,9999,9999,1,9999,9999
9999,9999,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_B015,the occurrence of a failure shall be displayed on the dmi,PURE_B188,9999,9999,1,9999,9999
9999,9999,the following information shall be recorded,PURE_B042,information shall be shown on the dmi,PURE_B119,9999,9999,1,9999,9999
9999,9999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,PURE_B109,9999,9999,0,9999,9999
9999,9999,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_B015,information shall be shown on the dmi,PURE_B119,9999,9999,1,9999,9999
9999,9999,in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,PURE_B043,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_B050,9999,9999,0,9999,9999
9999,9999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_B006,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,PURE_B049,9999,9999,0,9999,9999
9999,9999,the driver shall be able to consult train data when the train is stationary or moving,PURE_B019,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,PURE_B113,9999,9999,0,9999,9999
9999,9999,when the train passes the stop signal the train trip function shall be suppressed,PURE_B005,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_B008,9999,9999,0,9999,9999
9999,9999,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,PURE_B044,the driver shall be able to override the function when the train is stationary,PURE_B065,9999,9999,0,9999,9999
9999,9999,the driver shall be able to select train data entry on the dmi,PURE_B010,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,PURE_B113,9999,9999,0,9999,9999
9999,9999,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,PURE_B186,9999,9999,0,9999,9999
9999,9999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,PURE_B059,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data,PURE_B021,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_B037,9999,9999,0,9999,9999
9999,9999,exit from shunting shall only be possible when the train is stationary,PURE_B046,exit from shunting shall take place when the driver selects exit from shunting,PURE_B183,9999,9999,0,9999,9999
9999,9999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,PURE_B186,9999,9999,0,9999,9999
9999,9999,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,PURE_B044," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999,the release speed shall be calculated on board based on either,PURE_B047," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999,the trainborne equipment shall apply the emergency brake after a distance defined by a national value is travelled by the train,PURE_B048,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,PURE_B109,9999,9999,0,9999,9999
9999,9999,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_B008,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_B037,when the train passes the stop signal the train trip function shall be suppressed,PURE_B005,9999,9999,0,9999,9999
9999,9999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,PURE_B059,9999,9999,0,9999,9999
9999,9999,the test shall require no action on the part of the driver,PURE_B041,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,9999,9999,0,9999,9999
9999,9999,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,PURE_B049,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_B050,9999,9999,0,9999,9999
9999,9999,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_B050,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_B008,9999,9999,0,9999,9999
9999,9999,in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,PURE_B043,after the acknowledgement the driver shall be able to continue the movement,PURE_B115,9999,9999,0,9999,9999
9999,9999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,when the plain text message appears on the dmi the driver shall be alerted,PURE_B075,9999,9999,0,9999,9999
9999,9999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,after the acknowledgement the driver shall be able to continue the movement,PURE_B115,9999,9999,0,9999,9999
9999,9999,a special indication shall be shown on the dmi,PURE_B026,the emergency stop shall be indicated to the driver on the dmi,PURE_B063,9999,9999,1,9999,9999
9999,9999,the on board shall supervise the train against a ceiling speed,PURE_B038," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,the emergency stop shall be indicated to the driver on the dmi,PURE_B063,9999,9999,0,9999,9999
9999,9999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,after the acknowledgement the driver shall be able to continue the movement,PURE_B115,9999,9999,0,9999,9999
9999,9999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,PURE_B052,9999,9999,0,9999,9999
9999,9999,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,PURE_B016,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,PURE_B014,9999,9999,1,9999,9999
9999,9999,the on board shall supervise the train against a ceiling speed,PURE_B038,the release speed shall be indicated on the dmi,PURE_B086,9999,9999,1,9999,9999
9999,9999,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,PURE_B051,the following train data shall be sent from the on board to the trackside,PURE_B100,9999,9999,1,9999,9999
9999,9999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,9999,9999,0,9999,9999
9999,9999,the target distance shall not be shown on the dmi unless selected by the driver,PURE_B039,operation of the train trip shall be indicated on the dmi,PURE_B099,9999,9999,1,9999,9999
9999,9999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_B006," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,PURE_B052,after the acknowledgement the driver shall be able to continue the movement,PURE_B115,9999,9999,0,9999,9999
9999,9999,the ceiling speed level for the movement authority shall be defined as data national value,PURE_B053," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,operation of the train trip shall be indicated on the dmi,PURE_B099,9999,9999,0,9999,9999
9999,9999,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,when the plain text message appears on the dmi the driver shall be alerted,PURE_B075,9999,9999,0,9999,9999
9999,9999,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,the following train data shall be sent from the on board to the trackside,PURE_B100,9999,9999,0,9999,9999
9999,9999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,the driver shall be able to override the function when the train is stationary,PURE_B065,9999,9999,0,9999,9999
9999,9999,the test shall require no action on the part of the driver,PURE_B041,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,9999,9999,0,9999,9999
9999,9999,the dmi shall indicate the result of the self-test,PURE_B004,the release speed shall be indicated on the dmi,PURE_B086,9999,9999,1,9999,9999
9999,9999,exit from shunting shall only be possible when the train is stationary,PURE_B046,the driver shall be able to override the function when the train is stationary,PURE_B065,9999,9999,0,9999,9999
9999,9999,the target distance shall not be shown on the dmi unless selected by the driver,PURE_B039,actual speed shall still be shown on the dmi,PURE_B078,9999,9999,1,9999,9999
9999,9999,the etcs on-board shall be capable of sending to the trackside train integrity information detected by a system outside etcs,PURE_B054,the following train data shall be sent from the on board to the trackside,PURE_B100,9999,9999,1,9999,9999
9999,9999,the driver shall be able to consult train data when the train is stationary or moving,PURE_B019," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_B187,9999,9999,0,9999,9999
9999,9999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,the co-operative revocation of the ma shall be possible to a new target location proposed from rbc,PURE_B112,9999,9999,0,9999,9999
9999,9999,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_B055,the train shall be able to automatically pass from one rbc area to another without driver intervention,PURE_B143,9999,9999,0,9999,9999
9999,9999,train data may be entered automatically from a railway management system or from train memory,PURE_B056,the following data may be entered manually by the driver or from train memory,PURE_B071,9999,9999,0,9999,9999
9999,9999,when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,PURE_B057,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,PURE_B058,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,PURE_B044,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,9999,9999,0,9999,9999
9999,9999,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,once the train starts reversing the ma shall be cancelled,PURE_B137,9999,9999,0,9999,9999
9999,9999,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,PURE_B059,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,PURE_B059,the trainborne equipment shall apply the emergency brake after a distance defined by a national value is travelled by the train,PURE_B048,9999,9999,0,9999,9999
9999,9999,etcs shall be able to supervise train and shunting movements,PURE_B060,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,PURE_B113,9999,9999,0,9999,9999
9999,9999,within the braking curve area a warning shall be given to the driver to enable him to react and avoid intervention from etcs equipment at least 5 sec before the intervention,PURE_B061,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,the train shall have the capability of being supervised to a ceiling speed,PURE_B062,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,9999,9999,0,9999,9999
9999,9999,the trackside shall be able to send information for the calculation of speed profiles,PURE_B017,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,when the plain text message appears on the dmi the driver shall be alerted,PURE_B075,9999,9999,0,9999,9999
9999,9999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_B035,the following train data shall be sent from the on board to the trackside,PURE_B100,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_B037,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_B068,9999,9999,0,9999,9999
9999,9999,the emergency stop shall be indicated to the driver on the dmi,PURE_B063,the etcs trainborne equipment shall indicate on the dmi the information regarding pantograph and power supply,PURE_B076,9999,9999,1,9999,9999
9999,9999,stored train data shall be offered to the driver to be confirmed when data entry starts,PURE_B028,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,PURE_B052,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,the train shall have the capability of being supervised to a ceiling speed,PURE_B062,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_B045,9999,9999,0,9999,9999
9999,9999,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,PURE_B059,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,9999,9999,0,9999,9999
9999,9999,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_B037,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,PURE_B083,9999,9999,0,9999,9999
9999,9999,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,PURE_B044,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,9999,9999,0,9999,9999
