,Unnamed: 0,Unnamed: 0.1,req1,req1_id,req2,req2_id,similarity,cosine,BinaryClass,MultiClass,Id
99999,99999,99999,partial supervision shall be indicated on the dmi,PURE_M019,the occurrence of a failure shall be displayed on the dmi,PURE_M180,99999,99999,99999,4,99999
99999,99999,99999,actual speed shall be indicated on the dmi,PURE_M020,the occurrence of a failure shall be displayed on the dmi,PURE_M180,99999,99999,99999,4,99999
99999,99999,99999,the supervised speed shall not be shown on the dmi,PURE_M021,route unsuitability shall be indicated on the dmi,PURE_M022,99999,99999,99999,4,99999
99999,99999,99999,route unsuitability shall be indicated on the dmi,PURE_M022,the occurrence of a failure shall be displayed on the dmi,PURE_M180,99999,99999,99999,4,99999
99999,99999,99999,the train shall be supervised according to train speed data available,PURE_M023,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,the release speed shall be indicated on the dmi,PURE_M024,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_M181,99999,99999,99999,4,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,PURE_M028,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to select train data entry on the dmi,PURE_M006,the supervised shunting speed shall be indicated to the driver on request,PURE_M035,99999,99999,99999,4,99999
99999,99999,99999,the entry of driver identification and the selection of the language shall be possible,PURE_M025,the occurrence of a failure shall be displayed on the dmi,PURE_M180,99999,99999,99999,4,99999
99999,99999,99999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_M027,99999,99999,99999,0,99999
99999,99999,99999,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_M027,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_M005,99999,99999,99999,0,99999
99999,99999,99999,the current application level shall be indicated on the dmi,PURE_M018,the supervised shunting speed shall be indicated to the driver on request,PURE_M035,99999,99999,99999,4,99999
99999,99999,99999,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_M010,the supervised speed shall not be shown on the dmi,PURE_M021,99999,99999,99999,4,99999
99999,99999,99999,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_M010,the occurrence of a failure shall be displayed on the dmi,PURE_M180,99999,99999,99999,4,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,the following train data shall be sent from the on board to the trackside,PURE_M115,99999,99999,99999,0,99999
99999,99999,99999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,PURE_M081,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to release an etcs emergency brake application when stationary,PURE_M013,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_M037,99999,99999,99999,0,99999
99999,99999,99999,in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,PURE_M028,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_M037,99999,99999,99999,0,99999
99999,99999,99999,partial supervision shall be indicated on the dmi,PURE_M019,the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,PURE_M029,99999,99999,99999,4,99999
99999,99999,99999,the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,PURE_M029,actual speed shall be indicated on the dmi,PURE_M020,99999,99999,99999,4,99999
99999,99999,99999,the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,PURE_M029,route unsuitability shall be indicated on the dmi,PURE_M022,99999,99999,99999,4,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,PURE_M036,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to consult train data when the train is stationary or moving,PURE_M012,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,PURE_M085,99999,99999,99999,0,99999
99999,99999,99999,the test shall require no action on the part of the driver,PURE_M030,the occurrence of a failure shall be displayed on the dmi,PURE_M180,99999,99999,99999,4,99999
99999,99999,99999,when the train passes the stop signal the train trip function shall be suppressed,PURE_M031,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_M005,99999,99999,99999,0,99999
99999,99999,99999,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,PURE_M032,the driver shall be able to override the function when the train is stationary,PURE_M051,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to select train data entry on the dmi,PURE_M006,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,PURE_M085,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,PURE_M182,99999,99999,99999,0,99999
99999,99999,99999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,PURE_M046,99999,99999,99999,0,99999
99999,99999,99999,exit from shunting shall only be possible when the train is stationary,PURE_M034,exit from shunting shall take place when the driver selects exit from shunting,PURE_M171,99999,99999,99999,0,99999
99999,99999,99999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,PURE_M182,99999,99999,99999,0,99999
99999,99999,99999,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,PURE_M032," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,99999,99999,99999,0,99999
99999,99999,99999,the supervised shunting speed shall be indicated to the driver on request,PURE_M035,the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,PURE_M029,99999,99999,99999,4,99999
99999,99999,99999,the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,PURE_M029,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_M010,99999,99999,99999,4,99999
99999,99999,99999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,PURE_M046,99999,99999,99999,0,99999
99999,99999,99999,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,PURE_M036,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_M037,99999,99999,99999,0,99999
99999,99999,99999,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_M037,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_M005,99999,99999,99999,0,99999
99999,99999,99999,in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,PURE_M028,after the acknowledgement the driver shall be able to continue the movement,PURE_M094,99999,99999,99999,0,99999
99999,99999,99999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,after the acknowledgement the driver shall be able to continue the movement,PURE_M094,99999,99999,99999,0,99999
99999,99999,99999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,the emergency stop shall be indicated to the driver on the dmi,PURE_M078,99999,99999,99999,0,99999
99999,99999,99999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,after the acknowledgement the driver shall be able to continue the movement,PURE_M094,99999,99999,99999,0,99999
99999,99999,99999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,PURE_M039,99999,99999,99999,0,99999
99999,99999,99999,the target distance shall not be shown on the dmi unless selected by the driver,PURE_M038,operation of the train trip shall be indicated on the dmi,PURE_M016,99999,99999,99999,4,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,99999,99999,99999,0,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,the entry of driver identification and the selection of the language shall be possible,PURE_M025,99999,99999,99999,0,99999
99999,99999,99999,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,PURE_M039,after the acknowledgement the driver shall be able to continue the movement,PURE_M094,99999,99999,99999,0,99999
99999,99999,99999,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_M040,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,PURE_M065,99999,99999,99999,0,99999
99999,99999,99999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,the driver shall be able to override the function when the train is stationary,PURE_M051,99999,99999,99999,0,99999
99999,99999,99999,the dmi shall display or be compatible with information from national train control systems this may mean displaying the information shown by the national system,PURE_M041,information shall be shown on the dmi,PURE_M183,99999,99999,99999,3,99999
99999,99999,99999,the test shall require no action on the part of the driver,PURE_M030,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,99999,99999,99999,0,99999
99999,99999,99999,the dmi shall indicate the result of the self-test,PURE_M002,the release speed shall be indicated on the dmi,PURE_M024,99999,99999,99999,4,99999
99999,99999,99999,exit from shunting shall only be possible when the train is stationary,PURE_M034,the driver shall be able to override the function when the train is stationary,PURE_M051,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to consult train data when the train is stationary or moving,PURE_M012," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,99999,99999,99999,0,99999
99999,99999,99999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,the co-operative revocation of the ma shall be possible to a new target location proposed from rbc,PURE_M084,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_M042,the train shall be able to automatically pass from one rbc area to another without driver intervention,PURE_M118,99999,99999,99999,0,99999
99999,99999,99999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,operation of the train trip shall be indicated on the dmi,PURE_M016,99999,99999,99999,0,99999
99999,99999,99999,train data may be entered automatically from a railway management system or from train memory,PURE_M043,the following data may be entered manually by the driver or from train memory,PURE_M057,99999,99999,99999,0,99999
99999,99999,99999,when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,PURE_M044,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,PURE_M045,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,PURE_M032,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,once the train starts reversing the ma shall be cancelled,PURE_M160,99999,99999,99999,0,99999
99999,99999,99999,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,PURE_M046,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,etcs shall be able to supervise train and shunting movements,PURE_M047,following successful completion of train data entry the driver shall be able to perform shunting movements or train movements,PURE_M085,99999,99999,99999,0,99999
99999,99999,99999,the train shall have the capability of being supervised to a ceiling speed,PURE_M048,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,99999,99999,99999,0,99999
99999,99999,99999,the trackside shall be able to send information for the calculation of speed profiles,PURE_M049,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,the following train data shall be sent from the on board to the trackside,PURE_M115,99999,99999,99999,0,99999
99999,99999,99999,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_M027,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_M040,99999,99999,99999,0,99999
99999,99999,99999,the entry of driver identification and the selection of the language shall be possible,PURE_M025,the emergency stop shall be indicated to the driver on the dmi,PURE_M078,99999,99999,99999,4,99999
99999,99999,99999,stored train data shall be offered to the driver to be confirmed when data entry starts,PURE_M050,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,PURE_M039,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,the train shall have the capability of being supervised to a ceiling speed,PURE_M048,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_M040,99999,99999,99999,0,99999
99999,99999,99999,partial supervision shall be indicated on the dmi,PURE_M019,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,PURE_M058,99999,99999,99999,4,99999
99999,99999,99999,actual speed shall be indicated on the dmi,PURE_M020,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,PURE_M058,99999,99999,99999,4,99999
99999,99999,99999,route unsuitability shall be indicated on the dmi,PURE_M022,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,PURE_M058,99999,99999,99999,4,99999
99999,99999,99999,the supervised shunting speed shall be indicated to the driver on request,PURE_M035,when the plain text message appears on the dmi the driver shall be alerted,PURE_M059,99999,99999,99999,4,99999
99999,99999,99999,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_M010,when the plain text message appears on the dmi the driver shall be alerted,PURE_M059,99999,99999,99999,4,99999
99999,99999,99999,the driver shall be able to override the function when the train is stationary,PURE_M051,the emergency brake shall be applied until the traction unit is stationary,PURE_M092,99999,99999,99999,0,99999
99999,99999,99999,it shall be possible to define certain locations (eg tunnels) where speed increase is related to the front of the train,PURE_M052,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,PURE_M032,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_M027,99999,99999,99999,0,99999
99999,99999,99999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_M008,99999,99999,99999,0,99999
99999,99999,99999,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,PURE_M007,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to consult train data when the train is stationary or moving,PURE_M012,the etcs trainborne equipment shall be able to determine the location of the entire train,PURE_M027,99999,99999,99999,0,99999
99999,99999,99999,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_M008,in etcs with rbc this restriction on performance shall if possible be transmitted to the rbc,PURE_M184,99999,99999,99999,0,99999
99999,99999,99999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,when the train passes the stop signal the train trip function shall be suppressed,PURE_M031,99999,99999,99999,0,99999
99999,99999,99999,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_M008,the co-operative revocation of the ma shall be possible to a new target location proposed from rbc,PURE_M084,99999,99999,99999,0,99999
99999,99999,99999,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_M037,when the plain text message appears on the dmi the driver shall be alerted,PURE_M059,99999,99999,99999,0,99999
99999,99999,99999,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_M037,the following train data shall be sent from the on board to the trackside,PURE_M115,99999,99999,99999,0,99999
99999,99999,99999,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,PURE_M007,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_M042,99999,99999,99999,0,99999
99999,99999,99999,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_M008,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_M040,99999,99999,99999,0,99999
99999,99999,99999,etcs shall provide the driver with information to allow him to drive the train safely,PURE_M053,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_M008,99999,99999,99999,0,99999
99999,99999,99999,the current application level shall be indicated on the dmi,PURE_M018,the driver shall be able to select train data entry on the dmi,PURE_M006,99999,99999,99999,4,99999
99999,99999,99999,the driver shall be able to select train data entry on the dmi,PURE_M006,the occurrence of a failure shall be displayed on the dmi,PURE_M180,99999,99999,99999,4,99999
99999,99999,99999,the release speed shall be calculated on board based on either,PURE_M054,actual speed shall be indicated on the dmi,PURE_M020,99999,99999,99999,4,99999
99999,99999,99999,a special indication shall be shown on the dmi,PURE_M015,operation of the train trip shall be indicated on the dmi,PURE_M016,99999,99999,99999,4,99999
99999,99999,99999,the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,PURE_M029,the release speed shall be calculated on board based on either,PURE_M054,99999,99999,99999,4,99999
99999,99999,99999,the entry of driver identification and the selection of the language shall be possible,PURE_M025,operation of the train trip shall be indicated on the dmi,PURE_M016,99999,99999,99999,4,99999
99999,99999,99999,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_M040,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_M005,99999,99999,99999,0,99999
99999,99999,99999,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_M037,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_M042,99999,99999,99999,0,99999
99999,99999,99999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,PURE_M065,99999,99999,99999,0,99999
99999,99999,99999,the etcs on-board shall be capable of receiving track description from the trackside,PURE_M055,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,99999,99999,99999,0,99999
99999,99999,99999,the supervised shunting speed shall be indicated to the driver on request,PURE_M035,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,PURE_M058,99999,99999,99999,4,99999
99999,99999,99999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,PURE_M037,99999,99999,99999,0,99999
99999,99999,99999,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,PURE_M026,the driver shall enter the driver id,PURE_M064,99999,99999,99999,0,99999
99999,99999,99999,when the train passes the stop signal the train trip function shall be suppressed,PURE_M031,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_M042,99999,99999,99999,0,99999
99999,99999,99999,if the supervision is performed by a rbc it shall be possible to prevent movements of a traction unit in its area if not authorised by the rbc,PURE_M056,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to select train data entry on the dmi,PURE_M006," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,99999,99999,99999,0,99999
99999,99999,99999,the following data may be entered manually by the driver or from train memory,PURE_M057,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_M005,99999,99999,99999,0,99999
99999,99999,99999,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,PURE_M058,information shall be shown on the dmi,PURE_M183,99999,99999,99999,4,99999
99999,99999,99999,the current operational status shall be indicated to the driver on the dmi,PURE_M001,a special indication shall be shown on the dmi,PURE_M015,99999,99999,99999,4,99999
